Canonical,Team,Numbers,Variations
Lincoln James Rosebush,SC Rist Wedel,33,Lincoln James Rosebush
Darren Egbe,SC Rist Wedel,44,Darren Egbe
Player None,SC Rist Wedel,None,Player None
Anthony Watkins,LOK BERNAU,0,Anthony Watkins
Emanuel Schüler,LOK BERNAU,2,Emanuel Schüler
Leo Döring,LOK BERNAU,3,Leo Döring
Lukas Johannes Klein,LOK BERNAU,6,Lukas Johannes Klein
Anton Nufer,LOK BERNAU,7,Anton Nufer
Finn Georg Siedel,LOK BERNAU,9,Finn Georg Siedel
Richard Schmitt,LOK BERNAU,11,Richard Schmitt
Anton Kemmer,LOK BERNAU,14,Anton Kemmer
Marco Rahn,LOK BERNAU,15,Marco Rahn
Meo Martin,LOK BERNAU,18,Meo Martin
Nevio Bennefeld,LOK BERNAU,22,Nevio Bennefeld
Guy Artman Nahmias,LOK BERNAU,24,Guy Artman Nahmias
Peja Strobl,RASTA Vechta II,1,Peja Strobl
Epke Kruthaup,RASTA Vechta II,2,Epke Kruthaup
Djairo Bernardina,RASTA Vechta II,5,Djairo Bernardina
Johannes Hellmann,RASTA Vechta II,6,Johannes Hellmann
Moritz Dresing,RASTA Vechta II,7,Moritz Dresing
Moritz Grüß,RASTA Vechta II,8,Moritz Grüß
Louis Sutor,RASTA Vechta II,11,Louis Sutor
Fynn Lastring,RASTA Vechta II,16,Fynn Lastring
Roy Krupnikas,RASTA Vechta II,24,Roy Krupnikas
Ivan Volf,RASTA Vechta II,44,Ivan Volf
Aimé Olma,TSV Neustadt temps Shooters,2,Aimé Olma
Emil Loch,TSV Neustadt temps Shooters,3,Emil Loch
Till-Rouven Radtke,TSV Neustadt temps Shooters,5,Till-Rouven Radtke
Elias Marei,TSV Neustadt temps Shooters,7,Elias Marei
Leonard Toshio Musahl,TSV Neustadt temps Shooters,8,Leonard Toshio Musahl
Rijad Ibiševic,TSV Neustadt temps Shooters,9,Rijad Ibiševic
Matej Jelovcic,TSV Neustadt temps Shooters,10,Matej Jelovcic
Christenvie Kwilu,TSV Neustadt temps Shooters,17,Christenvie Kwilu
Robin Michael Kniss,TSV Neustadt temps Shooters,32,Robin Michael Kniss
David Lee Craig,TSV Neustadt temps Shooters,50,David Lee Craig
Henri Vogt,TSV Neustadt temps Shooters,55,Henri Vogt
Elias Pohl,TSV Neustadt temps Shooters,77,Elias Pohl
Bryant Allen,Hertener Löwen,8,Bryant Allen
David Ewald,Hertener Löwen,9,David Ewald
Gilbert Kofi Gyamfi,Hertener Löwen,10,Gilbert Kofi Gyamfi
Christian Matthew Hinckson,Hertener Löwen,11/35,Christian Matthew Hinckson; Player 11
Tarik Jakupovic,Hertener Löwen,14,Tarik Jakupovic
Dario Fiorentino,Hertener Löwen,20,Dario Fiorentino
Tim Elkenhans,Hertener Löwen,21,Tim Elkenhans
Faton Jetullahi,Hertener Löwen,22,Faton Jetullahi
Joshua Ober,Hertener Löwen,32,Joshua Ober
Manuel Bojang,Hertener Löwen,35,Manuel Bojang
Müslim Akil Özmeral,Hertener Löwen,44,Müslim Akil Özmeral
Jegor Cymbal,ETB Miners,2,Jegor Cymbal
Quashawn Tyrese Lane,ETB Miners,4,Quashawn Tyrese Lane
Benjamin Uzoma,ETB Miners,5,Benjamin Uzoma
Mychael Paulo,ETB Miners,10,Mychael Paulo
Gabriel Jung,ETB Miners,11,Gabriel Jung
Niclas Jonathan Sperber,ETB Miners,12,Niclas Jonathan Sperber
Lukas Ophelders,ETB Miners,13,Lukas Ophelders
Leon Kalinic,ETB Miners,25,Leon Kalinic
Jonathan Almstedt,ETB Miners,26,Jonathan Almstedt
Marc William Friederici,ETB Miners,30,Marc William Friederici
Reik Simon Gäbler,ETB Miners,32,Reik Simon Gäbler
Sean William Ludwig,BSW Sixers,1,Sean William Ludwig
Max Nwokedi,BSW Sixers,2,Max Nwokedi
Silver Arun Bieling,BSW Sixers,3,Silver Arun Bieling
Ilias Amin,BSW Sixers,4,Ilias Amin
Jarne Jürgens,BSW Sixers,7,Jarne Jürgens
Felix Zacharias,BSW Sixers,8,Felix Zacharias
Toby Okwuokei,BSW Sixers,10,Toby Okwuokei
Robert Joseph Holmes,BSW Sixers,11,Robert Joseph Holmes
Emanuel Ozike,BSW Sixers,12,Emanuel Ozike
Paul Schwabe,BSW Sixers,13,Paul Schwabe
Elia de Almeida Rosa,BSW Sixers,32,Elia de Almeida Rosa
Paul Manuel Raabe,BSW Sixers,77,Paul Manuel Raabe
Sydnee Ochieng Shaka Bijlsma,Itzehoe Eagles,0,Sydnee Ochieng Shaka Bijlsma
Walter J McBride,Itzehoe Eagles,2,Walter J McBride
Sven Cikara,Itzehoe Eagles,3,Sven Cikara
Jonathan Elzie,Itzehoe Eagles,4,Jonathan Elzie
Henry Frimpong,Itzehoe Eagles,5,Henry Frimpong
Tino Wohltmann,Itzehoe Eagles,8,Tino Wohltmann
Lucien Schmikale,Itzehoe Eagles,9,Lucien Schmikale
Finn Fleute,Itzehoe Eagles,11,Finn Fleute
Toni Nickel,Itzehoe Eagles,13,Toni Nickel
Finley Fjodor Schlecht,Itzehoe Eagles,22,Finley Fjodor Schlecht
Tobias Möller,Itzehoe Eagles,42,Tobias Möller
Christopher Herget,Itzehoe Eagles,65,Christopher Herget
Luka Zajic,EN BASKETS Schwelm,2,Luka Zajic
Fabian Reichstadt,EN BASKETS Schwelm,4,Fabian Reichstadt
