Canonical,Team,Numbers,Variations
Deng Deng,Manitoba,21,Deng Deng
Austin Thomson,Dalhousie,21,Austin Thomson
Andre Reid,Dalhousie,20,Andre Reid
Greg Angelakos,Toronto Metropolitan,0,Greg Angelakos
Roland Okeugo,Toronto Metropolitan,1,Roland Okeugo
Galand Okeugo,Toronto Metropolitan,2,Galand Okeugo
Ryan Ziolkowski,Toronto Metropolitan,9,Ryan Ziolkowski
Saevion Brown,Toronto Metropolitan,7,Saevion Brown
Joey Kleuskens,Toronto Metropolitan,23/40,Joey Kleuskens
Nigel Hylton,Toronto,0,Nigel Hylton
Lucas Prekovic,Toronto,2,Lucas Prekovic
Michael Reiss,Toronto,5,Michael Reiss
Simeon Jeffers,Toronto,14,Simeon Jeffers
Rohan Scott-Smith,Toronto,23,Rohan Scott-Smith
Mikey Ballout,Toronto,7,Mikey Ballout
Tobias Kessie,Toronto,8,Tobias Kessie
Aaron Uppal,Toronto,9,Aaron Uppal
Omoayena Idode,Toronto,11,Omoayena Idode
Carl Emmanuel Cleophat,Toronto,12,Carl Emmanuel Cleophat
Panashe Dumbu,Toronto,20,Panashe Dumbu
Ryan Rudnick,Toronto,35,Ryan Rudnick
Ahmed Sekou Bah,UQAM,10,Ahmed Sekou bah; Ahmed Sekou Bah
Mazen Yagubi,Guelph,10/5,Mazen Yagubi
Amare Hamilton,Guelph,6,Amare Hamilton
Raef Wykes,Guelph,21,Raef Wykes
Vito Albanese,Guelph,33,Vito Albanese
Eric Armstrong,Guelph,42,Eric Armstrong
Bennett Cotton,Guelph,32/4,Bennett Cotton
Elijah J Helman,Guelph,10,Elijah J Helman
Oliver Beattie,Guelph,11/40,Oliver Beattie
Isaiah Odle-Clarke,Guelph,12,Isaiah Odle-Clarke
Dylan Koffi,Guelph,13/4,Dylan Koffi
Emmanuel Black,Guelph,31,Emmanuel Black
Coulton Kelsey,Guelph,32/5,Coulton Kelsey
Ismail Hassan,Guelph,40,Ismail Hassan
Jack Gallaway,Guelph,44,Jack Gallaway
Scott Morozov,Victoria,17,Scott Morozov
Chris Ainsley,UNBC,3,Chris Ainsley
Cam Lalli,UNBC,9,Cam Lalli
YAHYA GHABN,McMaster,10,YAHYA GHABN
Mason Hoffman,Lethbridge,2,Mason Hoffman
Kymani Pollard,Lethbridge,3,Kymani Pollard
Joe Lemieux,Lethbridge,4,Joe Lemieux
Jaxen Perrett,Lethbridge,6,Jaxen Perrett
Sebastian Perez,Lethbridge,7,Sebastian Perez
Brady Baines,Lethbridge,1,Brady Baines
Lu Dalil,Lethbridge,23/5,Lu Dalil
Bryce Solis,Lethbridge,9,Bryce Solis
Karter Fry,Lethbridge,22,Karter Fry
Parker Fleming,Lethbridge,40,Parker Fleming
Vince Velasquez,UFV,2,Vince Velasquez
Isaiah Lee,UFV,3,Isaiah Lee
Malcolm Tyler,UFV,21,Malcolm Tyler
Johan Germain,Ontario Tech,5,Johan Germain
Emmanuel Okonkwo,Ontario Tech,6,Emmanuel Okonkwo
Ashton Klysh,Ontario Tech,7,Ashton Klysh
Keon Baker,Ontario Tech,12,Keon Baker
