Team Name,Play Type,Player,POSS,%TIME,%TIME RANK,PTS,PPP,PPP RANK,PPP RATING,FG ATT,FG MADE,FG MISS,FG%,EFG%,SSQ,PPS,SSM,TS%,TSA,TO%,%FT,FTA/FGA,%SF,SCORE%,2 FG ATT,2 FG MADE,2 FG MISS,2 FG%,3FG ATT,3 FG MADE,3 FG MISS,3 FG%,3PA/FGA
Sheffield Sharks,Handoffs,#3Rodney Chatman,13,46.4%,11%,4,0.308,22%,Below Average,10,1,9,10.0%,10.0%,0.95,0.20,-0.75,17.7%,11,15.4%,15.4%,0.30,15.4%,15.4%,6,1,5,16.7%,4,0,4,0.0%,0.40
Sheffield Sharks,Handoffs,#1Dirk Williams,8,28.6%,-,11,1.375,-,-,8,4,4,50.0%,68.8%,0.89,1.38,+0.49,68.8%,8,0.0%,0.0%,0.00,0.0%,50.0%,3,1,2,33.3%,5,3,2,60.0%,0.63
Sheffield Sharks,Handoffs,#24Nick Kern,3,10.7%,-,2,0.667,-,-,1,0,1,0.0%,0.0%,0.98,0.00,-0.98,36.2%,3,0.0%,66.7%,4.00,66.7%,66.7%,1,0,1,0.0%,0,0,0,-,0.00
Sheffield Sharks,Handoffs,#11Rodney Glasgow,2,7.1%,-,2,1.000,-,-,2,1,1,50.0%,50.0%,0.87,1.00,+0.13,50.0%,2,0.0%,0.0%,0.00,0.0%,50.0%,2,1,1,50.0%,0,0,0,-,0.00
Sheffield Sharks,Handoffs,#2Prentiss Nixon,1,3.6%,-,0,0.000,-,-,1,0,1,0.0%,0.0%,0.77,0.00,-0.77,0.0%,1,0.0%,0.0%,0.00,0.0%,0.0%,0,0,0,-,1,0,1,0.0%,1.00
Sheffield Sharks,Handoffs,#9Jordan Ratinho,1,3.6%,-,0,0.000,-,-,1,0,1,0.0%,0.0%,0.97,0.00,-0.97,0.0%,1,0.0%,0.0%,0.00,0.0%,0.0%,0,0,0,-,1,0,1,0.0%,1.00
Sheffield Sharks,P&R Including Passes,#3Rodney Chatman,141,38.0%,76%,148,1.050,85%,Excellent,102,49,53,48.0%,56.4%,1.01,1.13,+0.12,60.8%,122,14.2%,17.0%,0.44,15.6%,48.2%,58,32,26,55.2%,44,17,27,38.6%,0.43
Sheffield Sharks,P&R Including Passes,#1Dirk Williams,78,21.0%,41%,69,0.885,28%,Below Average,61,26,35,42.6%,50.0%,1.00,1.00,0.00,51.0%,68,12.8%,10.3%,0.25,10.3%,41.0%,33,17,16,51.5%,28,9,19,32.1%,0.46
Sheffield Sharks,P&R Including Passes,#24Nick Kern,58,15.6%,30%,60,1.034,80%,Very Good,42,24,18,57.1%,61.9%,1.00,1.24,+0.24,61.2%,49,17.2%,17.2%,0.38,13.8%,48.3%,33,20,13,60.6%,9,4,5,44.4%,0.21
Sheffield Sharks,P&R Including Passes,#2Prentiss Nixon,59,15.9%,65%,61,1.034,80%,Very Good,50,21,29,42.0%,50.0%,0.96,1.00,+0.04,54.7%,56,5.1%,10.2%,0.26,10.2%,44.1%,26,13,13,50.0%,24,8,16,33.3%,0.48
Sheffield Sharks,P&R Including Passes,#23Jalen Deloach,2,0.5%,-,0,0.000,-,-,0,0,0,-,-,-,-,-,-,0,100.0%,0.0%,-,0.0%,0.0%,0,0,0,-,0,0,0,-,-
Sheffield Sharks,P&R Including Passes,#11Rodney Glasgow,29,7.8%,35%,27,0.931,50%,Average,22,10,12,45.5%,54.5%,0.97,1.09,+0.12,54.8%,25,13.8%,10.3%,0.27,10.3%,41.4%,16,6,10,37.5%,6,4,2,66.7%,0.27
Sheffield Sharks,P&R Including Passes,#4William Lee,2,0.5%,-,0,0.000,-,-,2,0,2,0.0%,0.0%,0.68,0.00,-0.68,0.0%,2,0.0%,0.0%,0.00,0.0%,0.0%,2,0,2,0.0%,0,0,0,-,0.00
Sheffield Sharks,P&R Including Passes,#9Jordan Ratinho,2,0.5%,-,0,0.000,-,-,2,0,2,0.0%,0.0%,0.79,0.00,-0.79,0.0%,2,0.0%,0.0%,0.00,0.0%,0.0%,1,0,1,0.0%,1,0,1,0.0%,0.50
